epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4233.87,1.14407,0.83676,1.3409,0.88031,0.83302,0.8908,0.5669,1.28142,0.73361,1.53203,0.004456,0.004456,0.004456
58,4308.07,1.13658,0.8249,1.33634,0.88487,0.83639,0.88963,0.56813,1.28694,0.73852,1.53143,0.004357,0.004357,0.004357
59,4382.68,1.13115,0.81309,1.33472,0.86574,0.84686,0.89354,0.56643,1.27868,0.73908,1.52807,0.004258,0.004258,0.004258
60,4456.55,1.12508,0.80949,1.32641,0.87897,0.84481,0.89156,0.56912,1.27687,0.74165,1.5325,0.004159,0.004159,0.004159
61,4530.52,1.10904,0.78956,1.3159,0.85888,0.85643,0.89344,0.56693,1.27101,0.73313,1.52933,0.00406,0.00406,0.00406
62,4604.24,1.11836,0.80015,1.32449,0.85616,0.84872,0.88964,0.56909,1.27421,0.72878,1.5274,0.003961,0.003961,0.003961
63,4678.18,1.10059,0.79255,1.31621,0.86201,0.85178,0.89169,0.57157,1.26809,0.71974,1.52598,0.003862,0.003862,0.003862
64,4752.3,1.10209,0.7874,1.31166,0.87987,0.85178,0.90098,0.57453,1.26713,0.70675,1.52628,0.003763,0.003763,0.003763
65,4826.28,1.08771,0.77793,1.30368,0.88589,0.84484,0.89886,0.57841,1.25517,0.70338,1.51382,0.003664,0.003664,0.003664
66,4900.02,1.08787,0.77303,1.30442,0.87692,0.86889,0.90114,0.58154,1.25318,0.70973,1.51161,0.003565,0.003565,0.003565
67,4973.98,1.07781,0.76642,1.29669,0.88429,0.86492,0.90106,0.586,1.24719,0.70386,1.50573,0.003466,0.003466,0.003466
68,5048.16,1.08055,0.76376,1.29964,0.88283,0.87242,0.90022,0.58499,1.24637,0.70205,1.50981,0.003367,0.003367,0.003367
69,5122.24,1.06719,0.757,1.28991,0.88549,0.87047,0.90112,0.58443,1.24472,0.69878,1.51084,0.003268,0.003268,0.003268
70,5196.27,1.06641,0.75575,1.29043,0.88784,0.86679,0.90247,0.58346,1.24786,0.69594,1.51754,0.003169,0.003169,0.003169
71,5270.14,1.0603,0.75338,1.28692,0.87714,0.85366,0.89689,0.5815,1.24908,0.69895,1.5154,0.00307,0.00307,0.00307
72,5344.46,1.04876,0.73684,1.28021,0.87003,0.85406,0.8958,0.58169,1.2488,0.69236,1.51506,0.002971,0.002971,0.002971
73,5418.49,1.04723,0.73377,1.27721,0.85426,0.86304,0.89337,0.58059,1.2452,0.69651,1.51324,0.002872,0.002872,0.002872
74,5492.68,1.03391,0.73129,1.26945,0.86669,0.85553,0.89341,0.58251,1.23926,0.69896,1.51105,0.002773,0.002773,0.002773
