epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,10555.3,0.65928,0.43846,1.08359,0.9076,0.83865,0.89637,0.65797,1.06286,0.58254,1.54652,0.001882,0.001882,0.001882
84,10683.1,0.64331,0.43309,1.07284,0.91171,0.8331,0.89679,0.65813,1.06574,0.58485,1.55293,0.001783,0.001783,0.001783
85,10811.3,0.6431,0.42741,1.06769,0.91178,0.83302,0.89702,0.65783,1.06328,0.58397,1.55053,0.001684,0.001684,0.001684
86,10937.2,0.62987,0.41833,1.0647,0.91297,0.8349,0.89773,0.65981,1.06179,0.58135,1.55278,0.001585,0.001585,0.001585
87,11065.6,0.63072,0.42023,1.06295,0.91545,0.8349,0.89841,0.65965,1.05987,0.58145,1.55278,0.001486,0.001486,0.001486
88,11191.8,0.61674,0.41738,1.05757,0.92084,0.82933,0.89933,0.6607,1.0581,0.58301,1.55293,0.001387,0.001387,0.001387
89,11319.9,0.61479,0.40902,1.05612,0.92195,0.82927,0.89938,0.66106,1.05784,0.57998,1.5538,0.001288,0.001288,0.001288
90,11447.7,0.60545,0.404,1.05249,0.92111,0.83243,0.89998,0.66259,1.05925,0.58029,1.5559,0.001189,0.001189,0.001189
91,11576.5,0.53346,0.30658,1.02037,0.92263,0.82782,0.89999,0.66307,1.05792,0.5806,1.5557,0.00109,0.00109,0.00109
92,11704,0.50442,0.29071,0.99976,0.91938,0.83441,0.90115,0.66345,1.05808,0.58009,1.5562,0.000991,0.000991,0.000991
93,11831.6,0.49033,0.27914,0.99113,0.91689,0.83302,0.90139,0.6649,1.05651,0.58102,1.55726,0.000892,0.000892,0.000892
94,11958.7,0.48271,0.27973,0.98605,0.91245,0.83302,0.90149,0.66524,1.05533,0.58166,1.5588,0.000793,0.000793,0.000793
95,12085.9,0.47232,0.27174,0.98291,0.91282,0.83302,0.90205,0.66665,1.05402,0.58113,1.56102,0.000694,0.000694,0.000694
96,12213.1,0.46895,0.27045,0.97828,0.91626,0.83302,0.90273,0.66588,1.05375,0.57702,1.56395,0.000595,0.000595,0.000595
97,12338.6,0.45848,0.26468,0.97186,0.91571,0.83302,0.90271,0.66747,1.05357,0.57665,1.56669,0.000496,0.000496,0.000496
98,12466.1,0.44896,0.25954,0.96684,0.91465,0.83302,0.90328,0.66899,1.05296,0.57537,1.56852,0.000397,0.000397,0.000397
99,12593.4,0.44165,0.25747,0.96237,0.91393,0.83302,0.9037,0.66774,1.05134,0.57623,1.56921,0.000298,0.000298,0.000298
100,12719,0.43974,0.25565,0.96052,0.91141,0.83302,0.90401,0.66894,1.04929,0.5749,1.56971,0.000199,0.000199,0.000199
