epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,6847.75,0.78475,0.5271,1.12367,0.89239,0.84803,0.89757,0.63198,1.1218,0.63222,1.4872,0.002179,0.002179,0.002179
81,6932.96,0.7807,0.5211,1.11981,0.8966,0.84599,0.89854,0.63493,1.12039,0.62805,1.48712,0.00208,0.00208,0.00208
82,7019.47,0.77717,0.52189,1.11668,0.89529,0.8502,0.89942,0.63605,1.11557,0.62899,1.4855,0.001981,0.001981,0.001981
83,7105.69,0.76691,0.51633,1.11468,0.89446,0.85929,0.89987,0.63414,1.11039,0.62759,1.48324,0.001882,0.001882,0.001882
84,7190.75,0.75708,0.50866,1.10751,0.89452,0.85922,0.89847,0.63646,1.10929,0.62774,1.48386,0.001783,0.001783,0.001783
85,7277.08,0.75204,0.50503,1.09961,0.89309,0.86116,0.89835,0.63685,1.10896,0.62762,1.48513,0.001684,0.001684,0.001684
86,7363.51,0.74164,0.49385,1.09658,0.89504,0.86397,0.89874,0.63814,1.10824,0.62469,1.48557,0.001585,0.001585,0.001585
87,7449.72,0.74224,0.49222,1.09793,0.89142,0.86258,0.8986,0.63939,1.10999,0.62544,1.48908,0.001486,0.001486,0.001486
88,7536.21,0.72828,0.49043,1.08974,0.89324,0.86333,0.89961,0.63879,1.10891,0.62504,1.49164,0.001387,0.001387,0.001387
89,7621.3,0.72583,0.48623,1.08997,0.89284,0.86304,0.9004,0.63665,1.10889,0.62635,1.49382,0.001288,0.001288,0.001288
90,7706.52,0.71894,0.48066,1.08581,0.88992,0.86304,0.90076,0.63888,1.10772,0.62542,1.4948,0.001189,0.001189,0.001189
91,7793.02,0.65657,0.38196,1.07336,0.89019,0.86304,0.90137,0.64084,1.10603,0.62227,1.496,0.00109,0.00109,0.00109
92,7879.04,0.62252,0.36112,1.05448,0.89846,0.86116,0.90237,0.64247,1.10537,0.61805,1.49931,0.000991,0.000991,0.000991
93,7964.87,0.6081,0.35003,1.04591,0.90156,0.86116,0.90293,0.64488,1.10305,0.61779,1.49916,0.000892,0.000892,0.000892
94,8050.15,0.59664,0.34502,1.0375,0.89986,0.86304,0.90351,0.64532,1.10157,0.6181,1.49957,0.000793,0.000793,0.000793
95,8135.76,0.59062,0.34105,1.03354,0.89989,0.86007,0.90406,0.6452,1.09939,0.61629,1.49912,0.000694,0.000694,0.000694
96,8220.06,0.57798,0.33513,1.0257,0.89723,0.85929,0.90467,0.64739,1.09535,0.61512,1.49652,0.000595,0.000595,0.000595
97,8305.55,0.56889,0.32964,1.02157,0.89781,0.85929,0.90594,0.64772,1.09575,0.61301,1.49882,0.000496,0.000496,0.000496
98,8391.33,0.56188,0.32805,1.01719,0.89991,0.86034,0.90619,0.64855,1.09403,0.61411,1.49987,0.000397,0.000397,0.000397
99,8477.03,0.554,0.32418,1.01314,0.89853,0.86116,0.90665,0.64995,1.09212,0.61386,1.49956,0.000298,0.000298,0.000298
100,8562.39,0.55392,0.32267,1.01282,0.89742,0.86304,0.90679,0.65021,1.08893,0.61183,1.49894,0.000199,0.000199,0.000199
